,Name,Latitude,Longitude,Address,fsa
44,Station Mont-Royal,45.524931,-73.581959,"482, Avenue du Mont-Royal Est, Parc-Laurier, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2J 1W6, Canada", H2J 1W6
45,Station Laurier,45.527399,-73.586907,"501, Boulevard Saint-Joseph Est, Parc-Laurier, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2J1G2, Canada", H2J1G2
46,Station Rosemont,45.531733,-73.59778,"509, Boulevard Rosemont, Saint-Édouard, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2S 0C4, Canada", H2S 0C4
47,Station Beaubien,45.535354,-73.604688,"6530, Avenue De Chateaubriand, Saint-Édouard, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2S 2N7, Canada", H2S 2N7
48,Station Jean-Talon 2,45.539056,-73.613902,"430, Rue Jean-Talon Est, Saint-Édouard, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2R 1T6, Canada", H2R 1T6
49,Station Jarry,45.543191,-73.628765,"8086, Rue Berri, Villeray, Crémazie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2R 1H2, Canada", H2R 1H2
50,Station CrÃ©mazie,45.546082,-73.639052,"Édifice Louis LaBerge, Autoroute Métropolitaine - Autoroute Transcanadienne, Port-Maurice, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2E 2Z8, Canada", H2E 2Z8
51,Station SauvÃ©,45.550757,-73.656017,"9961, Rue Berri, Ahuntsic, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2M 1A1, Canada", H2M 1A1
52,Station Henri-Bourassa,45.555277,-73.668172,"575, Boulevard Henri-Bourassa Est, Ahuntsic, Sault-au-Récollet, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2C 2K4, Canada", H2C 2K4
53,Station Jean-Drapeau,45.512429,-73.533127,"Jean-Drapeau, Allée Calder, Cité du Havre, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3C 4W7, Canada", H3C 4W7
54,Station CÃ´te-des-Neiges,45.496846,-73.623386,"5366, Chemin de la Côte-des-Neiges, Édouard-Montpetit, Côte-des-Neiges–Notre-Dame-de-Grâce, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3T 1Y5, Canada", H3T 1Y5
55,Station UniversitÃ©-de-MontrÃ©al,45.503188,-73.617699,"Université de Montréal, Chemin de Polytechnique, Édouard-Montpetit, Côte-des-Neiges–Notre-Dame-de-Grâce, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3T 1J4, Canada", H3T 1J4
56,Station Ã‰douard-Montpetit,45.50992,-73.612858,"55, Avenue Vincent-D'Indy, Outremont, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2V 2C8, Canada", H2V 2C8
57,Station Outremont,45.52037,-73.614976,"1371, Avenue Van Horne, Outremont, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2V 1K3, Canada", H2V 1K3
58,Station Acadie,45.523458,-73.623257,"1050, Avenue Beaumont, Mont-Royal, Agglomération de Montréal, Montréal (06), Québec, H3P 3E5, Canada", H3P 3E5
59,Station Parc,45.530177,-73.624559,"400, Avenue Ogilvy, Parc-Extension, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3N 1M3, Canada", H3N 1M3
60,Station De Castelnau,45.535437,-73.619873,"7300, Boulevard Saint-Laurent, Parc-Jarry, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2R 2X9, Canada", H2R 2X9
61,Station Fabre,45.546753,-73.608106,"1551, Rue Jean-Talon Est, Père-Marquette, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2E 1T1, Canada", H2E 1T1
62,Station D'Iberville,45.553618,-73.601988,"7144, Rue D'Iberville, Gabriel-Sagard, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2E 2Z4, Canada", H2E 2Z4
63,Station Saint-Michel,45.55956,-73.600002,"7333, Boulevard Saint-Michel, François-Perrault, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2A 3M4, Canada", H2A 3M4
