OBJECTID;DT_MAJ_GDUNO;COMBINE_NUO_NUI;CD_ORGNS;NOM_COURT_ORGNS;NOM_OFFCL_ORGNS;ADRS_GEO_L1_GDUNO_ORGNS;ADRS_GEO_L2_GDUNO_ORGNS;CD_POSTL_GDUNO_ORGNS;CD_MUNCP_GDUNO_ORGNS;NOM_MUNCP_GDUNO_ORGNS;CD_IMM;NOM_IMM;ADRS_GEO_L1_GDUNO_IMM;ADRS_GEO_L2_GDUNO_IMM;CD_MUNCP_GDUNO_IMM;NOM_MUNCP_GDUNO_IMM;CD_POSTL_GDUNO_IMM;PRESC;PRIM;SEC;FORM_PRO;ADULTE;SITE_WEB_ORGNS;COORD_X_LL84_IMM;COORD_Y_LL84_IMM;ORDRE_ENS;CD_CS;TYPE_CS;STYLE_CART
888;20200706;12188955;821329;CEA de Bellechasse;Centre d'éducation des adultes de Bellechasse;189, rue Principale;;G0R3C0;19075;Saint-Gervais;821010;Provencher;45, rue Provencher;;19062;Saint-Anselme;G0R2N0;0;0;0;0;1;http://www.ceabellechasse.ca/;-70.969352;46.628646;Éducation aux adultes;821000;Franco;9_OrgImm_Franco_Adu
889;20200706;12124955;821110;École Provencher;École Provencher;45, rue Provencher;;G0R2N0;19062;Saint-Anselme;821010;Provencher;45, rue Provencher;;19062;Saint-Anselme;G0R2N0;1;1;0;0;0;http://provencher.cscotesud.qc.ca/;-70.969352;46.628646;Préscolaire - Primaire;821000;Franco;4_OrgImm_Franco_presc_prim
890;20200706;12295957;823301;Centre de formation des Bâtisseurs;Centre de formation des Bâtisseurs;925, route Saint-Martin;;G6E1E6;26030;Sainte-Marie;823051;Barabé;161, rue Sainte-Geneviève;;26063;Saint-Isidore;G0S2S0;0;0;0;0;1;https://www.cfbatisseurs.ca/;-71.090918;46.583164;Éducation aux adultes;823000;Franco;9_OrgImm_Franco_Adu
835;20200706;12188945;821329;CEA de Bellechasse;Centre d'éducation des adultes de Bellechasse;189, rue Principale;;G0R3C0;19075;Saint-Gervais;821035;Tremplin, du;118, rue de la Fabrique;;19050;Saint-Lazare-de-Bellechasse;G0R3J0;0;0;0;0;1;http://www.ceabellechasse.ca/;-70.797511;46.656131;Éducation aux adultes;821000;Franco;9_OrgImm_Franco_Adu
836;20200706;12150945;821135;École du Tremplin;École du Tremplin;118, rue de la Fabrique;;G0R3J0;19050;Saint-Lazare-de-Bellechasse;821035;Tremplin, du;118, rue de la Fabrique;;19050;Saint-Lazare-de-Bellechasse;G0R3J0;1;1;0;0;0;http://dutremplin.cscotesud.qc.ca/;-70.797511;46.656131;Préscolaire - Primaire;821000;Franco;4_OrgImm_Franco_presc_prim
837;20200706;9901984;734004;École de l'Harmonie;École de l'Harmonie;15, rue Saint-Edmond;;G1E5C8;23027;Québec;734004;Saint-Édouard;15, rue Saint-Edmond;;23027;Québec;G1E5C8;1;1;0;0;0;http://saintedouard.csdps.qc.ca;-71.186517;46.859668;Préscolaire - Primaire;734000;Franco;4_OrgImm_Franco_presc_prim
838;20200706;9907985;734008;École Freinet de Québec;École Freinet de Québec;945, boulevard des Chutes;;G1E2C8;23027;Québec;734008;Freinet de Québec (Chutes);945, boulevard des Chutes;;23027;Québec;G1E2C8;1;1;0;0;0;http://yvesprevost.csdps.qc.ca;-71.181502;46.866535;Préscolaire - Primaire;734000;Franco;4_OrgImm_Franco_presc_prim
839;20200706;99241020;734025;École aux Quatre-Vents;École aux Quatre-Vents;41, rue Tanguay;;G1E6A3;23027;Québec;734103;Aux-Quatre-Vents, bâtiment 2e cycle;105, rue Savio;;23027;Québec;G1E1G5;1;1;0;0;0;http://quatrevents.csdps.qc.ca;-71.175923;46.87453;Préscolaire - Primaire;734000;Franco;4_OrgImm_Franco_presc_prim
840;20200706;99251021;734026;École Beausoleil-et-du-Parc;École Beausoleil-et-du-Parc;2267, avenue Royale;;G1C1P5;23027;Québec;734026;Beausoleil;2267, avenue Royale;;23027;Québec;G1C1P5;1;1;0;0;0;;-71.159677;46.883668;Préscolaire - Primaire;734000;Franco;4_OrgImm_Franco_presc_prim
841;20200706;121581063;821143;École Saint-Thomas;École Saint-Thomas;111, 7e Rue;;G5V3H2;18050;Montmagny;821043;Saint-Thomas;111, 7e Rue;;18050;Montmagny;G5V3H2;1;1;0;0;0;http://www.cscotesud.qc.ca/;-70.568336;46.975032;Préscolaire - Primaire;821000;Franco;4_OrgImm_Franco_presc_prim
842;20200706;121611064;821145;École Saint-Nicolas;École Saint-Nicolas;280, avenue Corriveau;;G5V2M6;18050;Montmagny;821045;Saint-Nicolas;280, avenue Corriveau;;18050;Montmagny;G5V2M6;1;1;0;0;0;http://www.cscotesud.qc.ca/;-70.551184;46.974019;Préscolaire - Primaire;821000;Franco;4_OrgImm_Franco_presc_prim
