,fsa,latitude,longitude,Walkscore,WalkscoreDescription,Transitscore,TransitDescription,Bikescore,BikeDescription
86,H1A,45.67015394268407,-73.49319404131472,23.0,Car-Dependent,,,67.0,Bikeable
87,H1A,45.69043050600712,-73.49855817731567,9.0,Car-Dependent,,,60.0,Bikeable
88,H1A,45.69502331664519,-73.49306949828716,20.0,Car-Dependent,,,52.0,Bikeable
89,H1A,45.69466612760201,-73.488577488278,24.0,Car-Dependent,,,50.0,Bikeable
90,H1A,45.693459107204816,-73.49940310270001,2.0,Car-Dependent,,,60.0,Bikeable
91,H1A,45.67811770681469,-73.49316964649987,12.0,Car-Dependent,,,68.0,Bikeable
92,H1A,45.64159922550538,-73.52851823325248,2.0,Car-Dependent,,,38.0,Somewhat Bikeable
93,H1A,45.69622749640089,-73.50151318460973,3.0,Car-Dependent,,,57.0,Bikeable
94,H1A,45.66142771594223,-73.51152092699965,53.0,Somewhat Walkable,,,55.0,Bikeable
95,H1A,45.65333423186446,-73.49727139310156,27.0,Car-Dependent,,,55.0,Bikeable
96,H1A,45.70041522256359,-73.48476502230164,15.0,Car-Dependent,,,48.0,Somewhat Bikeable
97,H1A,45.67586418629536,-73.5149349695719,1.0,Car-Dependent,,,59.0,Bikeable
98,H1A,45.687629213908,-73.49200599831859,15.0,Car-Dependent,,,65.0,Bikeable
99,H1A,45.655591772447664,-73.52799389696257,7.0,Car-Dependent,,,32.0,Somewhat Bikeable
100,H1A,45.68090851908805,-73.51339931271733,0.0,Car-Dependent,,,58.0,Bikeable
101,H1A,45.65082025824476,-73.49121574150566,9.0,Car-Dependent,,,55.0,Bikeable
102,H1A,45.63838185538012,-73.52033627009223,17.0,Car-Dependent,,,45.0,Somewhat Bikeable
103,H1A,45.65366725423161,-73.51118466442699,73.0,Very Walkable,,,53.0,Bikeable
104,H1A,45.65756860551853,-73.52502300754944,6.0,Car-Dependent,,,33.0,Somewhat Bikeable
105,H1A,45.68822958074101,-73.49112433257179,20.0,Car-Dependent,,,65.0,Bikeable
106,H1A,45.68618821705117,-73.50511614293839,3.0,Car-Dependent,,,55.0,Bikeable
107,H1A,45.66872735315168,-73.517934915455,8.0,Car-Dependent,,,57.0,Bikeable
108,H1A,45.662368553850655,-73.50145102260771,40.0,Car-Dependent,,,69.0,Bikeable
109,H1A,45.654827858306696,-73.50661524109152,54.0,Somewhat Walkable,,,52.0,Bikeable
110,H1A,45.67641575781759,-73.50382336252001,16.0,Car-Dependent,,,62.0,Bikeable
111,H1A,45.69948417483916,-73.48276571709633,19.0,Car-Dependent,,,48.0,Somewhat Bikeable
112,H1A,45.65812011225222,-73.5004390434396,39.0,Car-Dependent,,,62.0,Bikeable
113,H1A,45.68289716181232,-73.5056486474189,4.0,Car-Dependent,,,60.0,Bikeable
114,H1A,45.6518731927887,-73.52949993843006,5.0,Car-Dependent,,,31.0,Somewhat Bikeable
115,H1A,45.697514712407084,-73.48265738996541,19.0,Car-Dependent,,,46.0,Somewhat Bikeable
116,H1A,45.696716670463864,-73.50636147012862,0.0,Car-Dependent,,,57.0,Bikeable
117,H1A,45.670393651784316,-73.50377301771621,40.0,Car-Dependent,,,62.0,Bikeable
118,H1A,45.65130640404316,-73.52501524127241,4.0,Car-Dependent,,,30.0,Somewhat Bikeable
119,H1A,45.6960172735897,-73.48064853231772,17.0,Car-Dependent,,,45.0,Somewhat Bikeable
120,H1A,45.66714276021529,-73.51420210038286,26.0,Car-Dependent,,,61.0,Bikeable
121,H1A,45.65672638121111,-73.49807195693201,37.0,Car-Dependent,,,63.0,Bikeable
122,H1A,45.64220686729739,-73.52004420970867,21.0,Car-Dependent,,,42.0,Somewhat Bikeable
123,H1A,45.673435026345835,-73.50499588860461,29.0,Car-Dependent,,,57.0,Bikeable
124,H1A,45.6518751425225,-73.51554355981851,59.0,Somewhat Walkable,,,54.0,Bikeable
125,H1A,45.648279974306234,-73.51748044846232,23.0,Car-Dependent,,,44.0,Somewhat Bikeable
126,H1A,45.67637815236747,-73.50735191976636,2.0,Car-Dependent,,,59.0,Bikeable
127,H1A,45.67781514345637,-73.5113812174519,0.0,Car-Dependent,,,59.0,Bikeable
128,H1A,45.64356706959966,-73.53311624744248,1.0,Car-Dependent,,,38.0,Somewhat Bikeable
129,H1A,45.65975190719412,-73.49426461595239,12.0,Car-Dependent,,,61.0,Bikeable
130,H1A,45.67832269364938,-73.50923338874313,1.0,Car-Dependent,,,60.0,Bikeable
131,H1A,45.65578172436405,-73.50968256617465,73.0,Very Walkable,,,53.0,Bikeable
132,H1A,45.662782366798695,-73.50199846680611,40.0,Car-Dependent,,,69.0,Bikeable
133,H1A,45.66206702571333,-73.49706872095243,22.0,Car-Dependent,,,65.0,Bikeable
134,H1A,45.64611674735979,-73.51383695921903,49.0,Car-Dependent,,,53.0,Bikeable
135,H1A,45.68516227289942,-73.50737092156143,2.0,Car-Dependent,,,56.0,Bikeable
136,H1A,45.65630684183173,-73.52513237140035,6.0,Car-Dependent,,,33.0,Somewhat Bikeable
137,H1A,45.64050228261576,-73.5234018976198,5.0,Car-Dependent,,,39.0,Somewhat Bikeable
138,H1A,45.68108288659824,-73.49677198394372,6.0,Car-Dependent,,,62.0,Bikeable
139,H1A,45.65000873381163,-73.51863392713874,27.0,Car-Dependent,,,46.0,Somewhat Bikeable
140,H1A,45.67406474002768,-73.50001910812236,28.0,Car-Dependent,,,65.0,Bikeable
